Author:text,cleanTitle:text,Co_Author:text,f10,Institution:text,isJointPaper:text,label:text,type:text,uri:url,change:text,changedItem:text,modified:text,,Year:text,,
"Abbott, G.",The State of Quantitative Economic History Research in Australia,,,University of Calgary,,Abbott1970,Item,http://127.0.0.1/Abbott1970,,,no,,1970,,
"Adshade, Marina",Enabling the Visible Hand: Organizational and Technological Innovations Following the Introduction of Skilled Female Labour,,,Queen's University,,Adshade2003,Item,http://127.0.0.1/Adshade2003,,,no,,2003,,
"Adshade, Marina",Predicting Patterns of Early Twentieth Century Wage Inequality,,,Dalhousie University,,Adshade2008,Item,http://127.0.0.1/Bordo2000,,,no,,2008,,
"Allen, Robert C.","The B.C. Economy: Past, Present, Future",,,University of British Columbia,,Allen1985,Item,http://127.0.0.1/Allen1985,,,no,,1985,,
"Allen, Robert C.","Real Incomes in the English Speaking World, 1879-1913.",,,University of British Columbia,,Allen1990,Item,http://127.0.0.1/Allen1990,,,no,,1990,,
"Allen, Robert C.",A Canadian Economic History Database.,,,University of British Columbia,,Allen1999,Item,http://127.0.0.1/Allen1999,,,no,,1999,,
"Allen, Robert C.","Capital accumulation, technological change, and the distribution of income during the British Industrial Revolution.",,,,,Allen2006,Item,http://127.0.0.1/Allen2006,,,no,,2006,,
"Alston, Lee",Did US Agricultural Policy Lock Farmers into Wheat? The Capitalization of Farm Policies into Land Prices in the US and Canada.,,,,,Alston2000,Item,http://127.0.0.1/Alston2000,,,no,,2000,,
"Altman, Morris",A New Wholesale Price Index for Canada: 1850-90 and its Application to Canadian Manufacturing Output Statistics,,,McGill University,,Altman1984,Item,http://127.0.0.1/Altman1984,,,no,,1984,,
"Altman, Morris",Railroads as an 'Engine' of Quebec Manufacturing Growth,,,Carleton University,,Altman1987,Item,http://127.0.0.1/Altman1987,,,no,,1987,,
"Altman, Morris","Aspects of Female Employment in Canadian Manufacturing, 1900-1930.",,,University of Saskatchewan,,Altman1989,Item,http://127.0.0.1/Altman1989,,,no,,1989,,
"Altman, Morris","Estimates for Hours Worked in Canada, 1900-1930, and the Real Wage-Income Debate.",,,University of Saskatchewan,,Altman1990,Item,http://127.0.0.1/Altman1990,,,no,,1990,,
