label,type,uri,author,yearDelivered,isJointPaper,cleanTitle,affiliation,coauthor,JSONRecord,cleanerTitle,primaryTitleFlag,authors,Co_Author2,Co_Author3,FlagThirdAuthor,relationType,relationWeight,surname
Abbott1970,Item,http://127.0.0.1/Abbott1970,"Abbott, G.",1970,No,The State of Quantitative Economic History Research in Australia,University of Calgary,,"{""Author"" : ""Abbott, G."", ""Year"" : ""1970"",""label"" : ""Abbott1970"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Abbott1970"", ""cleanTitle"" : ""The State of Quantitative Economic History Research in Australia"", ""Institution"" : ""University of Calgary""},",The State of Quantitative Economic History Research in Australia,1,,,,No,,,Abbott
Adshade2003,Item,http://127.0.0.1/Adshade2003,"Adshade, Marina",2003,Yes,Enabling the Visible Hand: Organizational and Technological Innovations Following the Introduction of Skilled Female Labour,Queen's University,"Keay, Ian","{""Author"" : ""Adshade, Marina"", ""Year"" : ""2003"",""label"" : ""Adshade2003"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Adshade2003"", ""cleanTitle"" : ""Enabling the Visible Hand: Organizational and Technological Innovations Following the Introduction of Skilled Female Labour"", ""Institution"" : ""Queen's University""},",Enabling the Visible Hand: Organizational and Technological Innovations Following the Introduction of Skilled Female Labour,1,,"Keay, Ian",,No,Undirected,1,Adshade
Adshade2008,Item,http://127.0.0.1/Bordo2000,"Adshade, Marina",2008,No,Predicting Patterns of Early Twentieth Century Wage Inequality,Dalhousie University,,"{""Author"" : ""Adshade, Marina"", ""Year"" : ""2008"",""label"" : ""Adshade2008"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Bordo2000"", ""cleanTitle"" : ""Predicting Patterns of Early Twentieth Century Wage Inequality"", ""Institution"" : ""Dalhousie University""},",Predicting Patterns of Early Twentieth Century Wage Inequality,1,,,,No,,,Adshade
Allen1985,Item,http://127.0.0.1/Allen1985,"Allen, Robert C.",1985,No,"The B.C. Economy: Past, Present, Future",University of British Columbia,,"{""Author"" : ""Allen, Robert C."", ""Year"" : ""1985"",""label"" : ""Allen1985"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Allen1985"", ""cleanTitle"" : ""The B.C. Economy: Past, Present, Future"", ""Institution"" : ""University of British Columbia""},","The B.C. Economy: Past, Present, Future",1,,,,No,,,Allen
Allen1990,Item,http://127.0.0.1/Allen1990,"Allen, Robert C.",1990,No,"Real Incomes in the English Speaking World, 1879-1913",University of British Columbia,,"{""Author"" : ""Allen, Robert C."", ""Year"" : ""1990"",""label"" : ""Allen1990"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Allen1990"", ""cleanTitle"" : ""Real Incomes in the English Speaking World, 1879-1913"", ""Institution"" : ""University of British Columbia""},","Real Incomes in the English Speaking World, 1879-1913",1,,,,No,,,Allen
Allen1999,Item,http://127.0.0.1/Allen1999,"Allen, Robert C.",1999,Yes,A Canadian Economic History Database,University of British Columbia,"Paterson, Donald G.","{""Author"" : ""Allen, Robert C."", ""Year"" : ""1999"",""label"" : ""Allen1999"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Allen1999"", ""cleanTitle"" : ""A Canadian Economic History Database"", ""Institution"" : ""University of British Columbia""},",A Canadian Economic History Database,1,,"Paterson, Donald G.",,No,Undirected,1,Allen
Allen2006,Item,http://127.0.0.1/Allen2006,"Allen, Robert C.",2006,No,"Capital accumulation, technological change, and the distribution of income during the British Industrial Revolution.",,,"{""Author"" : ""Allen, Robert C."", ""Year"" : ""2006"",""label"" : ""Allen2006"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Allen2006"", ""cleanTitle"" : ""Capital accumulation, technological change, and the distribution of income during the British Industrial Revolution"", ""Institution"" : """"},","Capital accumulation, technological change, and the distribution of income during the British Industrial Revolution",1,,,,No,,,Allen
Alston2000,Item,http://127.0.0.1/Alston2000,"Alston, Lee",2000,Yes,Did US Agricultural Policy Lock Farmers into Wheat? The Capitalization of Farm Policies into Land Prices in the US and Canada.,,"Rucker, R.;Weidenmier, Marc","{""Author"" : ""Alston, Lee"", ""Year"" : ""2000"",""label"" : ""Alston2000"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Alston2000"", ""cleanTitle"" : ""Did US Agricultural Policy Lock Farmers into Wheat? The Capitalization of Farm Policies into Land Prices in the US and Canada"", ""Institution"" : """"},",Did US Agricultural Policy Lock Farmers into Wheat? The Capitalization of Farm Policies into Land Prices in the US and Canada,1,,"Weidenmier, Marc","Rucker, R.",Yes,,,Alston
Altman1984,Item,http://127.0.0.1/Altman1984,"Altman, Morris",1984,No,A New Wholesale Price Index for Canada: 1850-90 and its Application to Canadian Manufacturing Output Statistics,McGill University,,"{""Author"" : ""Altman, Morris"", ""Year"" : ""1984"",""label"" : ""Altman1984"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Altman1984"", ""cleanTitle"" : ""A New Wholesale Price Index for Canada: 1850-90 and its Application to Canadian Manufacturing Output Statistics"", ""Institution"" : ""McGill University""},",A New Wholesale Price Index for Canada: 1850-90 and its Application to Canadian Manufacturing Output Statistics,1,,,,No,,,Altman
Altman1987,Item,http://127.0.0.1/Altman1987,"Altman, Morris",1987,No,Railroads as an 'Engine' of Quebec Manufacturing Growth,Carleton University,,"{""Author"" : ""Altman, Morris"", ""Year"" : ""1987"",""label"" : ""Altman1987"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Altman1987"", ""cleanTitle"" : ""Railroads as an 'Engine' of Quebec Manufacturing Growth"", ""Institution"" : ""Carleton University""},",Railroads as an 'Engine' of Quebec Manufacturing Growth,1,,,,No,,,Altman
Altman1989,Item,http://127.0.0.1/Altman1989,"Altman, Morris",1989,Yes,"Aspects of Female Employment in Canadian Manufacturing, 1900-1930.",University of Saskatchewan,"Lamantagne, Louise","{""Author"" : ""Altman, Morris"", ""Year"" : ""1989"",""label"" : ""Altman1989"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Altman1989"", ""cleanTitle"" : ""Aspects of Female Employment in Canadian Manufacturing, 1900-1930"", ""Institution"" : ""University of Saskatchewan""},","Aspects of Female Employment in Canadian Manufacturing, 1900-1930",1,,"Lamantagne, Louise",,No,Undirected,1,Altman
